"Latitude"	"Marginal"	"Upper"	"Lower"	"Marine"	"Marine_upper"	"Marine_lower"	"Lake"	"Lake_upper"	"Lake_lower"	"Stream"	"Stream_upper"	"Stream_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"
"1"	0	-0.548019324035562	-0.377831332476414	-0.71820731559471	-0.179059172727495	-0.013248033793359	-0.344870311661631	-0.304547967394116	-0.159949494269976	-0.449146440518256	-1.11062413281022	-0.848155605733957	-1.37309265988649	-0.74231041749346	-0.521693045242327	-0.962927789744592
"2"	0.452261306532663	-0.54861541770939	-0.379445699618127	-0.717785135800653	-0.179655266401323	-0.0148600847848013	-0.344450448017845	-0.305144061067944	-0.161704757242092	-0.448583364893796	-1.10597602349176	-0.842940972883343	-1.36901107410018	-0.73882904094873	-0.517430835744109	-0.960227246153351
"3"	0.904522613065327	-0.549211511383218	-0.38105529471502	-0.717367728051415	-0.180251360075151	-0.0164672075745108	-0.344035512575791	-0.305740154741772	-0.16345653667138	-0.448023772812163	-1.1013279141733	-0.837706358483865	-1.36494946986274	-0.735347664404001	-0.513146394496919	-0.957548934311083
"4"	1.35678391959799	-0.549807605057046	-0.38266003096101	-0.716955179153081	-0.180847453748979	-0.0180693103340009	-0.343625597163957	-0.3063362484156	-0.165204746980588	-0.447467749850611	-1.09667980485485	-0.832451895594257	-1.36090771411543	-0.731866287859271	-0.508839961654332	-0.95489261406421
"5"	1.80904522613065	-0.550403698730874	-0.384259819863305	-0.716547577598442	-0.181443547422807	-0.019666299412325	-0.343220795433289	-0.306932342089428	-0.166949300043815	-0.446915384135041	-1.09203169553639	-0.827177720537181	-1.35688567053559	-0.728384911314542	-0.504511780358002	-0.952258042271081
"6"	2.26130653266332	-0.550999792404702	-0.385854571217177	-0.716145013592226	-0.182039641096635	-0.021258079308579	-0.342821202884691	-0.307528435763256	-0.168690105103705	-0.446366766422806	-1.08738358621793	-0.821883972760406	-1.35288319967545	-0.724903534769812	-0.500162096446222	-0.949644973093401
"7"	2.71356783919598	-0.551595886078529	-0.387444193081061	-0.715747579075998	-0.182635734770463	-0.0228445526448164	-0.342426916896109	-0.308124529437084	-0.170427068686127	-0.44582199018804	-1.08273547689947	-0.816570794697147	-1.34890015910179	-0.721422158225082	-0.495791158167715	-0.947053158282449
"8"	3.16582914572864	-0.552191979752357	-0.389028591752054	-0.71535536775266	-0.183231828444291	-0.024425620139451	-0.342038036749131	-0.308720623110912	-0.172160094512289	-0.445281151709534	-1.07808736758101	-0.811238331625869	-1.34493640353615	-0.717940781680353	-0.491399215901181	-0.944482347459524
"9"	3.61809045226131	-0.552788073426185	-0.390607671741878	-0.714968475110493	-0.183827922118119	-0.0260011805812283	-0.341654663655009	-0.309316716784739	-0.173889083408264	-0.444744350161215	-1.07343925826255	-0.805886731529819	-1.34099178499528	-0.714459405135623	-0.486986521881091	-0.941932288390155
"10"	4.07035175879397	-0.553384167100013	-0.392181335753374	-0.714586998446652	-0.184424015791947	-0.0275711308038525	-0.341276900780041	-0.309912810458567	-0.175613933211904	-0.44421168770523	-1.06879114894409	-0.800516144956567	-1.33706615293162	-0.710978028590894	-0.482553329930173	-0.939402727251614
"11"	4.52261306532663	-0.553980260773841	-0.393749484657621	-0.714211036890061	-0.185020109465775	-0.0291353656613606	-0.340904853270189	-0.310508904132395	-0.177334538677105	-0.443683269587686	-1.06414303962563	-0.79512672487781	-1.33315935437346	-0.707496652046164	-0.478099895198968	-0.93689340889336
"12"	4.9748743718593	-0.554576354447669	-0.395312017471738	-0.7138406914236	-0.185616203139603	-0.0306937780043405	-0.340538628274865	-0.311104997806223	-0.179050791375426	-0.443159204237021	-1.05949493030717	-0.789718626549693	-1.32927123406466	-0.704015275501434	-0.473626473912811	-0.934404077090058
"13"	5.42713567839196	-0.555172448121497	-0.396868831337472	-0.713476064905522	-0.186212296813431	-0.0322462586570969	-0.340178334969764	-0.311701091480051	-0.180762579595045	-0.442639603365057	-1.05484682098872	-0.784292007373889	-1.32540163460354	-0.700533898956705	-0.469133323126539	-0.931934474786871
"14"	5.87939698492462	-0.555768541795325	-0.398419821500664	-0.713117262089986	-0.186808390487259	-0.0337926963958749	-0.339824084578642	-0.312297185153879	-0.182469788237067	-0.442124582070692	-1.05019871167026	-0.778847026759669	-1.32155039658084	-0.697052522411975	-0.464620700487174	-0.929484344336776
"15"	6.33165829145729	-0.556364635469153	-0.399964881291677	-0.712764389646629	-0.187404484161087	-0.0353329779282558	-0.339475990393917	-0.312893278827707	-0.184172298709177	-0.441614258946237	-1.0455506023518	-0.773383845987191	-1.3177173587164	-0.693571145867246	-0.460088864004805	-0.927053427729686
"16"	6.78391959798995	-0.556960729142981	-0.401503902106899	-0.712417556179063	-0.188000577834914	-0.0368669878738492	-0.33913416779598	-0.313489372501535	-0.185869988816697	-0.441108756186373	-1.04090249303334	-0.767902628072193	-1.31390235799448	-0.690089769322516	-0.455538071831831	-0.924641466813201
"17"	7.23618090452261	-0.557556822816809	-0.403036773391431	-0.712076872242187	-0.188596671508742	-0.038394608746407	-0.338798734271078	-0.314085466175363	-0.18756273265105	-0.440608199699677	-1.03625438371488	-0.762403537632323	-1.31010522979744	-0.686608392777786	-0.450968582050712	-0.92224820350486
"18"	7.68844221105528	-0.558152916490637	-0.40456338262306	-0.711742450358214	-0.18919276518257	-0.0399157209374979	-0.338469809427643	-0.314681559849191	-0.189250400475714	-0.440112719222668	-1.03160627439642	-0.75688674075526	-1.30632580803758	-0.683127016233057	-0.446380652470315	-0.919873379995799
