"Latitude"	"Marginal"	"Upper"	"Lower"	"Stream"	"Stream_upper"	"Stream_lower"	"Marine"	"Marine_upper"	"Marine_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"
"1"	0	0.0188408574716163	0.192680601605607	-0.154998886662374	-0.156181598503416	0.0357662368165262	-0.348129433823358	-0.116489194026626	0.165692752304582	-0.398671140357834	-0.432246537081852	-0.215349329496692	-0.649143744667012
"2"	0.452261306532663	0.015246818494506	0.187697032444118	-0.157203395455106	-0.159775637480526	0.0308339426945896	-0.350385217655642	-0.115312483949146	0.16775937331839	-0.398384341216682	-0.428686812474601	-0.210576782528808	-0.646796842420394
"3"	0.904522613065327	0.0116527795173956	0.182718776029011	-0.15941321699422	-0.163369676457637	0.0259071891271619	-0.352646542042435	-0.114135773871666	0.1698523647605	-0.398123912503832	-0.425127087867351	-0.20578361628269	-0.644470559452012
"4"	1.35678391959799	0.00805874054028531	0.177745962375952	-0.161628481295382	-0.166963715434747	0.020986093975179	-0.354913524844673	-0.112959063794186	0.171971472224472	-0.397889599812843	-0.421567363260101	-0.200970176628429	-0.642164549891773
"5"	1.80904522613065	0.00446470156317497	0.172778725241095	-0.163849322114745	-0.170557754411857	0.0160707779442612	-0.357186286767976	-0.111782353716706	0.174116437454651	-0.397681144888063	-0.418007638652851	-0.196136807239734	-0.639878470065967
"6"	2.26130653266332	0.000870662586064636	0.167817202231382	-0.166075877059253	-0.174151793388968	0.0111613646493101	-0.359464951427245	-0.110605643639225	0.176286998643308	-0.397498285921759	-0.414447914045601	-0.191283849346044	-0.637611978745158
"7"	2.71356783919598	-0.0027233763910457	0.16286153491729	-0.168308287699381	-0.177745832366078	0.00625798067971273	-0.361749645411868	-0.109428933561745	0.178482890724286	-0.397340757847777	-0.41088818943835	-0.186411641501489	-0.635364737375212
"8"	3.16582914572864	-0.00631741536815603	0.157911868947958	-0.17054669968427	-0.181339871343188	0.00136075566506946	-0.364040498351446	-0.108252223484265	0.180703845662612	-0.397208292631142	-0.4073284648311	-0.181520519370332	-0.633136410291868
"9"	3.61809045226131	-0.00991145434526636	0.152968354168638	-0.17279126285917	-0.184933910320299	-0.00353017765864577	-0.366337642981951	-0.107075513406785	0.182949592739502	-0.397100619553072	-0.40376874022385	-0.176610815528457	-0.630926664919243
"10"	4.07035175879397	-0.0135054933223767	0.148031144740382	-0.175042131385136	-0.188527949297409	-0.00841468338259646	-0.368641215212221	-0.105898803329305	0.1852198588323	-0.397017465490909	-0.4002090156166	-0.171682859280472	-0.628735171952727
"11"	4.52261306532663	-0.017099532299487	0.143100399261863	-0.177299463860837	-0.192121988274519	-0.013292622358378	-0.37095135419066	-0.104722093251825	0.187514368688855	-0.396958555192504	-0.39664929100935	-0.166736976491941	-0.626561605526758
"12"	4.9748743718593	-0.0206935712765974	0.1381762808932	-0.179563423446395	-0.19571602725163	-0.0181638521312217	-0.373268202372037	-0.103545383174345	0.189832845195957	-0.396923611544646	-0.393089566402099	-0.161773489436228	-0.62440564336797
"13"	5.42713567839196	-0.0242876102537077	0.133258957481661	-0.181834177989076	-0.19931006622874	-0.023028226873245	-0.375591905584235	-0.102368673096864	0.192175009641425	-0.396912355835154	-0.389529841794849	-0.156792716655452	-0.622266966934246
"14"	5.87939698492462	-0.027881649230818	0.128348601689055	-0.184111900150691	-0.20290410520585	-0.0278855973168996	-0.377922613094801	-0.101191963019384	0.194540581969527	-0.396924508008295	-0.385970117187599	-0.151794972834995	-0.620145261540203
"15"	6.33165829145729	-0.0314756882079284	0.123445391120637	-0.186396767536493	-0.206498144182961	-0.032735810688781	-0.38026047767714	-0.100015252941904	0.196929281029424	-0.396959786913232	-0.382410392580349	-0.146780568691019	-0.618040216469678
"16"	6.78391959798995	-0.0350697271850387	0.118549508455288	-0.188688962825366	-0.210092183160071	-0.0375787106439802	-0.382605655676162	-0.0988385428644239	0.199340824816384	-0.397017910545232	-0.378850667973099	-0.141749810870449	-0.615951525075748
"17"	7.23618090452261	-0.038663766162149	0.113661141576732	-0.19098867390103	-0.213686222137181	-0.0424141372011733	-0.384958307073189	-0.0976618327869438	0.201774930705535	-0.397098596279422	-0.375290943365848	-0.136703001862831	-0.613878884868866
"18"	7.68844221105528	-0.0422578051392594	0.108780483705486	-0.193296093984004	-0.217280261114292	-0.0472419266786594	-0.387318595549924	-0.0964851227094636	0.204231315677967	-0.397201561096894	-0.371731218758598	-0.13164043992354	-0.611821997593656
"19"	8.14070351758794	-0.0458518441163697	0.103907733531233	-0.195611421763972	-0.220874300091402	-0.0520619116315785	-0.389686688551225	-0.0953084126319834	0.206709696539038	-0.397326521803005	-0.368171494151348	-0.126562419007752	-0.609780569294944
"20"	8.5929648241206	-0.04944588309348	0.0990430953452501	-0.19793486153221	-0.224468339068512	-0.0568739207905563	-0.392062757346468	-0.0941317025545033	0.209209790128748	-0.397473195237755	-0.364611769544098	-0.12146922871464	-0.607754310373555
"21"	9.04522613065327	-0.0530399220705904	0.0941867791724812	-0.200266623313662	-0.228062378045623	-0.0616777790020447	-0.3944469770892	-0.0929549924770232	0.211731313524107	-0.397641298478153	-0.361052044936847	-0.116361154241247	-0.605742935632448
"22"	9.49748743718593	-0.0566339610477007	0.0893390009028101	-0.202606922998212	-0.231656417022733	-0.066473307170643	-0.396839526874823	-0.091778282399543	0.214273984233416	-0.397830549032502	-0.357492320329597	-0.111238476345489	-0.603746164313705
