"Latitude"	"Marginal"	"Upper"	"Lower"	"Marine"	"Marine_upper"	"Marine_lower"	"Stream"	"Stream_upper"	"Stream_lower"	"Lake"	"Lake_upper"	"Lake_lower"
"1"	0	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"2"	0.452261306532663	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"3"	0.904522613065327	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"4"	1.35678391959799	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"5"	1.80904522613065	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"6"	2.26130653266332	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"7"	2.71356783919598	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"8"	3.16582914572864	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"9"	3.61809045226131	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"10"	4.07035175879397	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"11"	4.52261306532663	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"12"	4.9748743718593	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"13"	5.42713567839196	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"14"	5.87939698492462	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"15"	6.33165829145729	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"16"	6.78391959798995	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"17"	7.23618090452261	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"18"	7.68844221105528	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"19"	8.14070351758794	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"20"	8.5929648241206	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"21"	9.04522613065327	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
"22"	9.49748743718593	-0.454409124688402	-0.371746573792659	-0.537071675584145	-0.225641630428582	-0.114260696479281	-0.337022564377883	-0.745047155241793	-0.66069187486281	-0.829402435620777	-0.381853832967963	-0.305839641994613	-0.457868023941313
