resource,consumer
sp6,sp20
sp14,sp47
sp3,sp29
sp2,sp17
sp17,sp48
sp14,sp48
sp6,sp46
sp3,sp15
sp8,sp23
sp7,sp15
sp12,sp39
sp10,sp22
sp9,sp26
sp6,sp10
sp2,sp24
sp17,sp37
sp14,sp38
sp3,sp23
sp3,sp27
sp7,sp29
sp8,sp15
sp14,sp42
sp17,sp32
sp2,sp14
sp9,sp8
sp8,sp29
sp10,sp19
sp2,sp8
sp3,sp25
sp3,sp18
sp9,sp28
sp8,sp26
sp29,sp32
sp10,sp25
sp2,sp27
sp6,sp15
sp12,sp52
sp10,sp9
sp8,sp30
sp11,sp32
sp17,sp36
sp2,sp48
sp13,sp44
sp3,sp20
sp12,sp45
sp6,sp5
sp7,sp20
sp14,sp41
sp2,sp11
sp3,sp46
sp13,sp31
sp2,sp30
sp8,sp8
sp2,sp19
sp3,sp10
sp10,sp28
sp12,sp41
sp14,sp37
sp17,sp31
sp9,sp12
sp3,sp22
sp6,sp24
sp2,sp16
sp8,sp13
sp8,sp20
sp7,sp25
sp6,sp29
sp10,sp10
sp8,sp10
sp3,sp11
sp17,sp47
sp3,sp24
sp3,sp9
sp6,sp7
sp2,sp20
sp3,sp7
sp24,sp31
sp7,sp30
sp17,sp51
sp1,sp2
sp9,sp11
sp6,sp23
sp14,sp46
sp3,sp16
sp3,sp13
sp2,sp18
sp17,sp49
sp3,sp8
sp3,sp14
sp17,sp44
sp8,sp22
sp8,sp24
sp6,sp49
sp10,sp21
sp9,sp27
sp6,sp11
sp7,sp19
sp23,sp31
sp13,sp52
sp14,sp39
sp6,sp8
sp12,sp34
sp13,sp48
sp14,sp45
sp20,sp31
sp2,sp15
sp8,sp28
sp3,sp28
sp13,sp41
sp3,sp17
sp1,sp4
sp8,sp25
sp2,sp29
sp12,sp37
sp9,sp30
sp9,sp24
sp28,sp32
sp6,sp16
sp14,sp33
sp17,sp35
sp20,sp32
sp15,sp32
sp13,sp47
sp6,sp30
sp3,sp21
sp3,sp53
sp13,sp45
sp7,sp21
sp1,sp3
sp14,sp40
sp12,sp47
sp12,sp36
sp2,sp12
sp17,sp43
sp13,sp39
sp9,sp29
sp27,sp31
sp13,sp37
sp10,sp27
sp12,sp50
sp6,sp25
sp1,sp6
sp9,sp15
sp19,sp32
sp6,sp27
sp12,sp32
sp13,sp42
sp2,sp7
sp7,sp22
sp6,sp28
sp10,sp11
sp10,sp24
sp12,sp40
sp17,sp40
sp30,sp31
sp8,sp12
sp10,sp8
sp9,sp23
sp2,sp23
sp17,sp42
sp3,sp26
sp3,sp12
sp6,sp18
sp14,sp35
sp17,sp50
sp9,sp22
sp9,sp10
sp6,sp22
sp23,sp32
sp7,sp27
sp10,sp13
sp10,sp12
sp12,sp48
sp12,sp43
sp17,sp45
sp8,sp21
sp30,sp32
sp10,sp20
sp26,sp31
sp2,sp9
sp6,sp12
sp2,sp26
sp17,sp39
sp25,sp32
sp21,sp31
sp12,sp35
sp8,sp11
sp13,sp49
sp6,sp21
sp14,sp44
sp12,sp38
sp13,sp34
sp7,sp28
sp14,sp49
sp2,sp13
sp12,sp46
sp13,sp36
sp14,sp34
sp2,sp28
sp16,sp31
sp10,sp23
sp9,sp25
sp28,sp31
sp6,sp17
sp2,sp25
sp3,sp30
sp12,sp31
sp2,sp46
sp15,sp31
sp22,sp32
sp9,sp19
sp14,sp32
sp13,sp46
sp14,sp43
sp10,sp15
sp6,sp53
sp13,sp38
sp6,sp13
sp3,sp19
sp9,sp9
sp12,sp49
sp8,sp27
sp29,sp31
sp7,sp11
sp16,sp32
sp10,sp26
sp26,sp32
sp6,sp14
sp12,sp51
sp17,sp33
sp2,sp49
sp8,sp9
sp22,sp31
sp19,sp31
sp6,sp26
sp25,sp31
sp12,sp33
sp13,sp51
sp13,sp43
sp7,sp23
sp8,sp19
sp13,sp33
sp14,sp51
sp18,sp48
sp2,sp10
sp17,sp41
sp4,sp53
sp9,sp20
sp18,sp53
sp2,sp22
sp10,sp29
sp6,sp19
sp14,sp36
sp14,sp50
sp7,sp26
sp9,sp13
sp6,sp48
sp14,sp31
sp13,sp40
sp6,sp9
sp7,sp24
sp21,sp32
sp12,sp42
sp17,sp46
sp13,sp32
sp17,sp34
sp9,sp21
sp2,sp53
sp2,sp21
sp17,sp38
sp13,sp50
sp27,sp32
sp14,sp52
sp10,sp30
sp24,sp32
sp13,sp35
sp18,sp49
sp17,sp52
sp12,sp44
sp11,sp31
