resource,consumer
sp15,sp31
sp3,sp29
sp35,sp31
sp33,sp26
sp3,sp26
sp10,sp36
sp27,sp6
sp25,sp9
sp31,sp17
sp21,sp29
sp27,sp26
sp39,sp25
sp39,sp31
sp3,sp22
sp10,sp22
sp18,sp29
sp7,sp22
sp27,sp16
sp4,sp29
sp1,sp28
sp12,sp9
sp20,sp29
sp27,sp28
sp33,sp28
sp31,sp16
sp2,sp23
sp27,sp31
sp12,sp29
sp4,sp26
sp39,sp29
sp28,sp23
sp3,sp18
sp3,sp9
sp6,sp36
sp30,sp26
sp32,sp28
sp5,sp29
sp10,sp13
sp38,sp26
sp33,sp29
sp3,sp13
sp28,sp29
sp8,sp21
sp37,sp16
sp1,sp5
sp1,sp26
sp14,sp9
sp1,sp13
sp27,sp18
sp14,sp29
sp11,sp31
sp33,sp16
sp17,sp23
sp6,sp16
sp12,sp23
sp27,sp9
sp37,sp26
sp1,sp21
sp1,sp14
sp3,sp28
sp30,sp16
sp7,sp28
sp3,sp21
sp24,sp9
sp32,sp18
sp4,sp16
sp3,sp16
sp32,sp26
sp26,sp29
sp27,sp22
sp39,sp13
sp33,sp22
sp32,sp9
sp3,sp5
sp4,sp9
sp32,sp23
