resource,consumer
sp7,sp12
sp21,sp18
sp21,sp20
sp21,sp17
sp6,sp7
sp8,sp1
sp16,sp8
sp19,sp18
sp7,sp19
sp12,sp18
sp16,sp1
sp8,sp8
sp21,sp10
sp19,sp14
sp9,sp18
sp2,sp18
sp20,sp18
sp21,sp14
sp11,sp17
sp19,sp10
sp8,sp9
sp16,sp9
sp7,sp1
sp16,sp2
sp6,sp4
sp19,sp3
sp7,sp20
sp11,sp18
sp19,sp20
sp16,sp12
sp21,sp15
sp7,sp9
sp9,sp17
sp16,sp16
sp13,sp10
sp21,sp2
sp4,sp18
sp6,sp21
sp8,sp12
sp16,sp13
sp7,sp2
sp7,sp8
sp7,sp13
sp8,sp20
sp13,sp18
sp7,sp7
sp4,sp10
sp8,sp16
sp6,sp6
sp7,sp21
sp16,sp20
sp7,sp16
sp8,sp13
sp1,sp3
sp1,sp18
sp19,sp15
