"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.720926410535133	0.12614128482515	-5.7152296453492	4.32004600220411e-08
"log(Species)"	0.618893190833881	0.0528421286386634	11.7121169562623	4.62543709081495e-24
"log(Species):Lakeweb"	-0.0984846643626034	0.0600499542384401	-1.64004561887842	0.10269491681843
"log(Species):Stream"	-0.2366640881215	0.0827892244859387	-2.85863395376648	0.00474291579021146
"log(Species):Latitude"	-0.00103774772640121	0.00095506249138016	-1.08657573275814	0.278638073562916
"log(Species):Lakeweb:Latitude"	0.00493619197479354	0.00146487181786471	3.36970915447664	0.000915798450500474
"log(Species):Stream:Latitude"	0.00713020895267617	0.00185587049088566	3.84197549758629	0.00016760043042146
