"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.87804523437252	0.139199918115781	-6.30779993449564	1.64799209921288e-09
"log(Species)"	0.702847561086367	0.0603640195590242	11.6434850797025	1.68665107416887e-24
"log(Species):Lakeweb"	-0.114098960465019	0.0728431007462995	-1.5663660565797	0.118768556255449
"log(Species):Stream"	-0.175004889293409	0.0865781646008532	-2.02135134303464	0.0445125328928939
"log(Species):Marine"	0.0794558158825174	0.0351084115165036	2.26315610562919	0.0246486615944935
"log(Species):Terr"	-0.0978929781147534	0.0336326422285296	-2.9106538061917	0.00399564693865427
"log(Species):Latitude"	-0.00120779032552379	0.00106367697793657	-1.13548600804238	0.257466009703047
"log(Species):Lakeweb:Latitude"	0.00457046481954212	0.00166366326310171	2.74722951507688	0.00653243579907141
"log(Species):Stream:Latitude"	0.00502726409275927	0.0018993250024216	2.64686880146874	0.00873979080390834
