"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.632360124004147	0.135479423959797	-4.66757316736006	5.78088321604245e-06
"log(Species)"	0.553772799061289	0.056020815131536	9.88512569410207	8.0538995764108e-19
"log(Species):Lakeweb"	-0.064476000859575	0.064753645144181	-0.995712298759587	0.320669799815487
"log(Species):Stream"	-0.192846447585426	0.0893168349162963	-2.15912764672139	0.0321071850662236
"log(Species):Latitude"	-0.000641568029541317	0.0010319880903191	-0.621681621677374	0.53490438093191
"log(Species):Lakeweb:Latitude"	0.00461924430197642	0.00158548919234484	2.91345051374639	0.00400800931567927
"log(Species):Stream:Latitude"	0.00675865596794039	0.00200917390646641	3.36389794143157	0.00093135439968627
