"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.22790132712816	0.142357586678679	-8.62547164345871	1.50667630680598e-15
"log(Species)"	0.733515839961257	0.0536158926134803	13.6809405608373	5.88209814723014e-31
"log(Species):Latitude"	-0.00146878889669614	0.000899932578400507	-1.63210992906456	0.10414079624626
"log(Species):Lakeweb"	-0.0981970889712565	0.0682869961572106	-1.43800568918256	0.151906933711901
"log(Species):Marine"	0.0964803410197614	0.0285509506128894	3.37923392912196	0.000865044232527134
"log(Species):Terr"	-0.0794619137404416	0.0267419803163314	-2.97142966977333	0.00330640222654561
"log(Species):Latitude:Lakeweb"	0.00384563534889301	0.00160234701682617	2.40000156552243	0.0172595273525922
