"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.892687189240542	0.138934485280489	-6.42523839519275	8.67794174256456e-10
"log(Species)"	0.700741058777097	0.0603441536618103	11.6124100887104	2.10464037978562e-24
"log(Species):Lakeweb"	-0.11027597327624	0.0727536154560596	-1.51574561050979	0.131087461318656
"log(Species):Stream"	-0.169187413793877	0.0863475876086204	-1.95937626608327	0.0513920467521721
"log(Species):Marine"	0.0827935290050152	0.034912448721484	2.37146152839365	0.0186219291354858
"log(Species):Terr"	-0.0947267107199294	0.0334275579312273	-2.83379093725054	0.00504858064741541
"log(Species):Latitude"	-0.00113012985762705	0.00106025731179731	-1.0659014986761	0.287692111040776
"log(Species):Lakeweb:Latitude"	0.00454904441505753	0.00166850897787012	2.72641290840668	0.00694370977763779
"log(Species):Stream:Latitude"	0.00495041048769532	0.00189881798293852	2.60710111878881	0.00978606421668848
