"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.84738368467663	0.140028925594238	-6.05149029802669	6.30385433712146e-09
"log(Species)"	0.656555392034375	0.0609362419842789	10.7744647627558	6.34193726172171e-22
"log(Species):Lakeweb"	-0.094899388648272	0.0737926432088365	-1.28602777352347	0.19981662795525
"log(Species):Stream"	-0.158306216945564	0.0857054875157576	-1.84709546067816	0.0661073944722188
"log(Species):Marine"	0.11824622495138	0.0366017846444661	3.23061364630093	0.00142908953962643
"log(Species):Terr"	-0.059210015101235	0.035180704315456	-1.68302529052047	0.0938217038737155
"log(Species):Latitude"	-0.00107557404533787	0.00105947764023263	-1.01519277471652	0.31115501295079
"log(Species):Lakeweb:Latitude"	0.00511520495419773	0.00168891945854728	3.02868495493418	0.00275675199099661
"log(Species):Stream:Latitude"	0.00507790630143029	0.00187280105036276	2.71139654713815	0.00724165561762809
