"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.501308415423273	0.143561856988217	-3.49193320524142	0.000580919522170116
"log(Species)"	0.690302935394423	0.0530634164584799	13.0090179160356	5.52610132277385e-29
"log(Species):Latitude"	-0.00115232801032599	0.000895810159619611	-1.28635291523742	0.199690654026564
"log(Species):Lakeweb"	-0.0620744221105578	0.0672735242261511	-0.922716965174656	0.357179518044772
"log(Species):Marine"	0.127834166590921	0.0285323516393706	4.48032353612689	1.20548589912309e-05
"log(Species):Terr"	-0.0522132214392649	0.0266099712999097	-1.96216752174558	0.0510212782288272
"log(Species):Latitude:Lakeweb"	0.00336821038850796	0.00158524731936915	2.12472233660572	0.0347409622662334
