"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.17527083471476	0.130941323834245	-8.97555332648461	8.18070679841238e-16
"log(Species)"	0.717093527539713	0.0546657016086885	13.1177961031737	5.15156526022608e-27
"log(Species):Lakeweb"	-0.0186950172835848	0.0842907644611285	-0.221792000619548	0.824764036248249
"log(Species):Terr"	-0.0244270410228852	0.0282091340933271	-0.865926651348842	0.387851718017798
"log(Species):Latitude"	-0.00115507800268968	0.000950819687694381	-1.21482339673739	0.226257343602516
"log(Species):Lakeweb:Latitude"	0.00172081638244262	0.00187672545707366	0.916924942834128	0.360588317158326
