"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.832192558910061	0.126508559689827	-6.57815218946786	6.82008522778656e-10
"log(Species)"	0.688268399622929	0.0557955469531839	12.3355435551233	7.82874006108964e-25
"log(Species):Lakeweb"	-0.0203431034829344	0.0824678404003587	-0.24667923137279	0.805480792060417
"log(Species):Stream"	-0.281892940695568	0.0839685385986339	-3.35712572113473	0.000989471713100417
"log(Species):Latitude"	-0.00177023497518387	0.0010695494920961	-1.65512207547737	0.0999101692614937
"log(Species):Lakeweb:Latitude"	0.00310698998701181	0.0018726947433598	1.65910114183242	0.0991045430588007
"log(Species):Stream:Latitude"	0.00846422053656247	0.00188909633223783	4.48056586216316	1.43274838560445e-05
