"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.20774643566116	0.146539588989463	-8.24177578216088	1.60598396410872e-14
"log(Species)"	0.695599100557071	0.0541700950832175	12.8410167914321	1.89834125375171e-28
"log(Species):Lakeweb"	-0.0634403386371622	0.0690088392274419	-0.919307429995645	0.358955541502788
"log(Species):Marine"	0.127093854466119	0.0289787604863162	4.38575882243591	1.80234213598754e-05
"log(Species):Terr"	-0.0520352815237447	0.0271501964473017	-1.91657108723853	0.0566061649083124
"log(Species):Latitude"	-0.00116389332993443	0.000913583174768348	-1.27398726473871	0.204030688430308
"log(Species):Lakeweb:Latitude"	0.00358478628633956	0.00164076877515029	2.18482112813928	0.0299727959382295
