"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.01905549966377	0.135554530481122	-7.51767938737901	2.17757244467534e-12
"log(Species)"	0.639554817734546	0.0536520663314617	11.9204135360488	8.58634130740213e-25
"log(Species):Lakeweb"	-0.0873795534064191	0.0643328587605639	-1.35824141954629	0.176006185438729
"log(Species):Terr"	-0.0611624398695841	0.0256597279098266	-2.38359658701453	0.0181350378907921
"log(Species):Latitude"	-0.000802423175373361	0.000909657462088019	-0.882115751055882	0.378834721549326
"log(Species):Lakeweb:Latitude"	0.00363662198839554	0.00153038835462038	2.37627395518024	0.018488020222663
