"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.491436966360273	0.144635202414564	-3.39776871851488	0.000809409492941474
"log(Species)"	0.687615448204107	0.0533266933614174	12.8943949992145	1.4725310097442e-28
"log(Species):Latitude"	-0.00122270342433172	0.000904701114129289	-1.35149985474317	0.177955635598019
"log(Species):Lakeweb"	-0.0626708553114126	0.0675714976429804	-0.927474711934598	0.354720117966865
"log(Species):Marine"	0.126874008396932	0.0285215523335571	4.44835564744694	1.38774930154481e-05
"log(Species):Terr"	-0.0495601518464689	0.0267524935886864	-1.85254326600149	0.0653184639309636
"log(Species):Latitude:Lakeweb"	0.00344145593717879	0.00159397906808305	2.15903458589174	0.0319547360610642
