"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.835792239267148	0.141692731498596	-5.89862465369601	1.44995867268101e-08
"log(Species)"	0.621230488202969	0.0641776000197436	9.67986475050257	1.47077071174995e-18
"log(Species):Lakeweb"	-0.0573670204366571	0.0758896682720414	-0.755926620090284	0.45054029091935
"log(Species):Stream"	-0.125860898909116	0.0879818014047943	-1.43053332506849	0.154050272620425
"log(Species):Marine"	0.116519080945532	0.0369734506949254	3.15142565152903	0.00186203194230574
"log(Species):Terr"	-0.0841682640572147	0.0376035511244694	-2.23830626470925	0.026250616922009
"log(Species):Latitude"	-0.000292504041083293	0.00113608829465102	-0.257465940332696	0.797071213583615
"log(Species):Lakeweb:Latitude"	0.00401602329217942	0.00173670133508904	2.31244325724753	0.0217220229599784
"log(Species):Stream:Latitude"	0.00429344988287431	0.0019295386937148	2.22511727640374	0.0271371043122407
