"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.20564324653197	0.145878985198966	-8.26468078926914	1.38794250347172e-14
"log(Species)"	0.695683646771	0.0539248910107713	12.9009745542562	1.22234257240377e-28
"log(Species):Lakeweb"	-0.064254485227859	0.0687181567431117	-0.935043782796165	0.350805086911381
"log(Species):Marine"	0.126780614097149	0.0288264903208053	4.3980593088589	1.71109886131408e-05
"log(Species):Terr"	-0.0465026225153218	0.0273336616317829	-1.70129502376109	0.0903199610103551
"log(Species):Latitude"	-0.00117395881743445	0.000909102673706222	-1.29133798787376	0.197960355644438
"log(Species):Lakeweb:Latitude"	0.00359631580376442	0.00163351883407578	2.20157596517653	0.0287489073445255
