"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.500812515809866	0.144569974859886	-3.46415302551753	0.000641882880354133
"log(Species)"	0.688323287260064	0.0534297072317466	12.8827823119921	1.60306109874455e-28
"log(Species):Latitude"	-0.00113608917184832	0.000901111171040745	-1.26076471844887	0.208760082589163
"log(Species):Lakeweb"	-0.064075359439842	0.0680777729194071	-0.941208219541739	0.347654473124826
"log(Species):Marine"	0.125403852925539	0.0286388522704512	4.37880162728894	1.86322401707102e-05
"log(Species):Terr"	-0.0509823605337453	0.0268274161543824	-1.90038281138816	0.0587207892751036
"log(Species):Latitude:Lakeweb"	0.00350034661680012	0.00161826823369168	2.16302003828805	0.0316428341367065
