"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.48698242276635	0.121199512364902	-12.2688812335269	1.17660598924941e-26
"log(Species)"	0.772546802314444	0.0485724538955078	15.9050395925311	2.51742401223777e-38
"log(Species):Latitude"	-0.000871859362454271	0.000830120439438435	-1.05028056295551	0.294752032191348
"log(Species):Lakeweb"	-0.043537439442288	0.0615717821598135	-0.707100524218768	0.480259172422546
"log(Species):Marine"	0.126398588683819	0.0253113651446121	4.99374837989426	1.21216363921288e-06
"log(Species):Latitude:Lakeweb"	0.00406848863697433	0.00149730200778096	2.7172131045252	0.00711231228654721
