"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.889098689940857	0.137899148898027	-6.4474559636211	7.67993582882214e-10
"log(Species)"	0.699960667549253	0.0599846092050837	11.6690043800424	1.40612658820877e-24
"log(Species):Lakeweb"	-0.107523250732849	0.0720301456048397	-1.49275348300315	0.137002557383943
"log(Species):Stream"	-0.169316520294611	0.0858923279337308	-1.97126477262608	0.0500069122525982
"log(Species):Marine"	0.0889577713694626	0.0349668436487754	2.54406066109367	0.0116761756108567
"log(Species):Terr"	-0.0947836267294003	0.0332510877482435	-2.85054213705858	0.00479963392017314
"log(Species):Latitude"	-0.00113387477212251	0.0010546621109045	-1.07510714606982	0.283560436580283
"log(Species):Lakeweb:Latitude"	0.00449303550590603	0.00165347261960865	2.71733287423257	0.00713033183188133
"log(Species):Stream:Latitude"	0.00495395765354748	0.00188880505911476	2.62279986472998	0.00936029758121862
