"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.319939582890622	0.135271102876497	-2.36517316771438	0.0190346851308304
"log(Species)"	0.642101238729315	0.0539447614325599	11.9029396307934	9.67824282857384e-25
"log(Species):Lakeweb"	-0.0921609122487286	0.064600621562974	-1.42662578190348	0.155337617674201
"log(Species):Terr"	-0.0600583835447699	0.0256094717796834	-2.34516291712098	0.0200561630206987
"log(Species):Latitude"	-0.000951424519534764	0.000925108885677401	-1.02844598540213	0.305054462153688
"log(Species):Lakeweb:Latitude"	0.00373352566165324	0.00153856150308013	2.42663400467183	0.0161782104629382
