"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.320020266697458	0.13542657211461	-2.36305373236965	0.0191406625810958
"log(Species)"	0.637333317294262	0.0536204889580566	11.8860034602221	1.08686493195193e-24
"log(Species):Lakeweb"	-0.0844505849689898	0.0649589473426381	-1.30006086033906	0.195163333258184
"log(Species):Terr"	-0.060084087310075	0.0256387655130188	-2.34348597164578	0.0201439181349373
"log(Species):Latitude"	-0.000823408326217191	0.000909523201970375	-0.905318659747628	0.366449215411256
"log(Species):Lakeweb:Latitude"	0.00355059053286397	0.00153960584405423	2.30616852136274	0.0221860684977433
