"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.489425361959005	0.130440524178647	-3.75209594595546	0.000246338143627042
"log(Species)"	0.719717345158794	0.053464973533594	13.4614738882564	5.93365755478278e-28
"log(Species):Lakeweb"	-0.0199780985089064	0.0838377733188514	-0.238294717500735	0.81196325113155
"log(Species):Terr"	-0.0248493196576063	0.0280240139873074	-0.886715217486724	0.376588497906772
"log(Species):Latitude"	-0.00117276377581835	0.00093949872155764	-1.24828671812769	0.213784427398093
"log(Species):Lakeweb:Latitude"	0.00170320766589497	0.00186665807103957	0.912436879747572	0.362937740898856
