"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.501786490101059	0.147039775849751	-3.4125901457698	0.000767581622159799
"log(Species)"	0.689155416679304	0.0536937238640508	12.8349342732161	1.98501073228628e-28
"log(Species):Latitude"	-0.00112299501238	0.000897033504396514	-1.25189862683614	0.211954518956597
"log(Species):Lakeweb"	-0.0648027405355676	0.0678153768595998	-0.955575911193868	0.340349849079665
"log(Species):Marine"	0.1243176889303	0.0285005590519302	4.36193860982809	1.99247964921122e-05
"log(Species):Terr"	-0.0520434570936956	0.0266661883678589	-1.95166464647135	0.0522647540546892
"log(Species):Latitude:Lakeweb"	0.00351115646288265	0.00162210542164088	2.16456736784151	0.0315122545306345
