"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.02871984481112	0.135199802585855	-7.60888570201766	1.27099026443689e-12
"log(Species)"	0.646735472884509	0.053686927246258	12.0464237023285	3.61926730157513e-25
"log(Species):Lakeweb"	-0.0911652995915304	0.0640992263104524	-1.42225272969737	0.156601138575933
"log(Species):Terr"	-0.0594995844434701	0.0255297464449035	-2.33059833053485	0.0208296777516955
"log(Species):Latitude"	-0.00096793846275643	0.000909809462909967	-1.0638913994811	0.288735265131546
"log(Species):Lakeweb:Latitude"	0.00379349148450673	0.00152574934957674	2.48631368288577	0.0137747520293889
