"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.481949077279137	0.129874584039475	-3.71088062259088	0.000286266358917888
"log(Species)"	0.721179410470667	0.053406602888721	13.5035626956714	4.55510169760402e-28
"log(Species):Lakeweb"	-0.02404777149703	0.083670080653676	-0.287411835977159	0.774176006126575
"log(Species):Terr"	-0.0262530672621098	0.0279851636524621	-0.938106619212143	0.349630538900246
"log(Species):Latitude"	-0.00122790491625978	0.000937407641385686	-1.30989428936666	0.192145007321541
"log(Species):Lakeweb:Latitude"	0.00176301683666033	0.00186328021444017	0.946189855394367	0.345505738277695
