"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.640206809699844	0.134030166764213	-4.77658742920241	3.5802573280471e-06
"log(Species)"	0.56400319304564	0.0555677599014181	10.1498277786657	1.40585286766165e-19
"log(Species):Lakeweb"	-0.0719499966393366	0.0641043269832897	-1.12238908081965	0.26312844201177
"log(Species):Stream"	-0.200304180961334	0.0883912008106685	-2.26610996484119	0.0245841255372924
"log(Species):Latitude"	-0.000724770537189116	0.00102109855286722	-0.709794892132573	0.478710770929039
"log(Species):Lakeweb:Latitude"	0.00469542710930653	0.00156821485210815	2.99412233151246	0.00312259124825465
"log(Species):Stream:Latitude"	0.00677244537037513	0.00198653650178838	3.40917237829671	0.000797283384461805
