"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.498159513739524	0.143967209816789	-3.46022899501544	0.000649721407418384
"log(Species)"	0.688286533657025	0.0532144013632221	12.9342154759768	9.57534800156702e-29
"log(Species):Latitude"	-0.00112417150895535	0.000897000335379273	-1.25325650907368	0.211461038530178
"log(Species):Lakeweb"	-0.0650412535085007	0.0678246316903695	-0.958962133483078	0.338645050108809
"log(Species):Marine"	0.124101507649255	0.0284453342031925	4.36280715715151	1.98522094142473e-05
"log(Species):Terr"	-0.052119650400301	0.0266593555368048	-1.95502289349593	0.0518644119362177
"log(Species):Latitude:Lakeweb"	0.00349799405875955	0.00161670777086017	2.16365265374981	0.0315833637900609
