"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.892554460108518	0.141619726509439	-6.30247270000929	1.63548892945155e-09
"log(Species)"	0.667211165005803	0.0614294420863009	10.861423160387	3.43139703763244e-22
"log(Species):Lakeweb"	-0.0778976819863348	0.0738122125235058	-1.05534950549718	0.292449969453247
"log(Species):Stream"	-0.162300931204295	0.0863699499261145	-1.87913656709464	0.061578749751616
"log(Species):Marine"	0.120916261110274	0.0368568393035378	3.28070077074317	0.00120806582486655
"log(Species):Terr"	-0.0582618407890513	0.0354186489261512	-1.64494814329391	0.101441739972999
"log(Species):Latitude"	-0.00105652417702931	0.00106662437213365	-0.990530691620953	0.323028244608709
"log(Species):Lakeweb:Latitude"	0.00451470031072491	0.0016682593373595	2.70623410258906	0.00735136289078455
"log(Species):Stream:Latitude"	0.00514622451135139	0.00188665207268956	2.72770193606237	0.0069047974340966
