"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.504051181426912	0.144499893674512	-3.48824603679151	0.000588554967678077
"log(Species)"	0.689623189355874	0.053322569079385	12.9330450738257	9.65803318893041e-29
"log(Species):Latitude"	-0.00112053199856107	0.000897303075383445	-1.24877761962671	0.213091927970453
"log(Species):Lakeweb"	-0.0604822441534439	0.0674076061916354	-0.89726141559599	0.370573819792075
"log(Species):Marine"	0.125425498540181	0.0285025518653008	4.40050066860416	1.69352411245139e-05
"log(Species):Terr"	-0.0519864204634601	0.0266693771916882	-1.94929263213774	0.0525490911647426
"log(Species):Latitude:Lakeweb"	0.00333561691451282	0.00158847023473371	2.09989261465261	0.0368936405164372
