"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.479602824764613	0.130792730309915	-3.6668920637117	0.000335596661041852
"log(Species)"	0.719053804657105	0.053488009770113	13.4432708890747	6.65261076807562e-28
"log(Species):Lakeweb"	-0.0227405007695799	0.0837781198943063	-0.271437229652195	0.786411351055062
"log(Species):Terr"	-0.024809989540795	0.0280137809085051	-0.885635167270925	0.377168603348355
"log(Species):Latitude"	-0.00122628874986331	0.000941140712221883	-1.30298130124266	0.194488937125806
"log(Species):Lakeweb:Latitude"	0.00176286561954741	0.00186742853083577	0.944007007731876	0.346616526770614
