"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.21517174799807	0.147226210523305	-8.25377318127545	1.48785178751013e-14
"log(Species)"	0.697303839233484	0.0542504556048888	12.8534190442937	1.73315516048866e-28
"log(Species):Lakeweb"	-0.0628081945074577	0.0689806837500169	-0.910518584232536	0.363559362988943
"log(Species):Marine"	0.127357285168211	0.0289479004225964	4.39953445013224	1.70045887195418e-05
"log(Species):Terr"	-0.0520293492455968	0.0271189501263316	-1.91856060073203	0.0563522054373492
"log(Species):Latitude"	-0.00115555209051923	0.000912414230891184	-1.26647749607167	0.206699939813622
"log(Species):Lakeweb:Latitude"	0.00354667051445395	0.00164074681888789	2.16161961956928	0.0317419069303388
