"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.316375232256292	0.135307429341604	-2.33819557282072	0.0204229837156115
"log(Species)"	0.630257999230747	0.054250626130553	11.6175248874371	6.81514277239413e-24
"log(Species):Lakeweb"	-0.0815697644064361	0.0646360574356821	-1.26198545583639	0.2085091446012
"log(Species):Terr"	-0.0599215369142322	0.0256017873183882	-2.34052162722226	0.0202998696652631
"log(Species):Latitude"	-0.000665881398439992	0.000928546875040916	-0.717122006802996	0.474184131297739
"log(Species):Lakeweb:Latitude"	0.00345117123375334	0.00153975173267095	2.24138162050756	0.0261645380518963
