"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.48291021907282	0.121651683885232	-12.1898042979151	2.09583719160903e-26
"log(Species)"	0.770399393254394	0.0486442299665035	15.8374260171225	4.14967591057904e-38
"log(Species):Latitude"	-0.00083724733511779	0.000829954412365135	-1.00878713655112	0.314195106555193
"log(Species):Lakeweb"	-0.0427615276189372	0.061640634757598	-0.693723025194291	0.488594439476428
"log(Species):Marine"	0.12579025876874	0.0253341895799747	4.96523713030752	1.38352420070427e-06
"log(Species):Latitude:Lakeweb"	0.00403276168609175	0.00149843372036626	2.69131802847177	0.00766900128576825
