"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.21949449946569	0.14621212255643	-8.34058406473808	8.54588227598799e-15
"log(Species)"	0.697920116156949	0.0541222123140236	12.8952621542433	1.2747123003985e-28
"log(Species):Lakeweb"	-0.057715655168306	0.0685981338962551	-0.841358968388159	0.401073066329237
"log(Species):Marine"	0.128122290295467	0.0289798296103168	4.42108501044656	1.55207404540383e-05
"log(Species):Terr"	-0.0514413038516013	0.0271653891550884	-1.89363397512624	0.0596039595555275
"log(Species):Latitude"	-0.0011562131625978	0.00091319616162273	-1.2661169759444	0.206828721244364
"log(Species):Lakeweb:Latitude"	0.00341554992904791	0.00161658484880098	2.11281822391272	0.0357591566634484
