"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.84908826625672	0.123094463560941	-6.89785910506332	1.24178722713614e-10
"log(Species)"	0.691479708512806	0.0542669222400122	12.7421950604555	6.08130114271678e-26
"log(Species):Lakeweb"	-0.0219415924828591	0.0801524723128	-0.273748168331361	0.784640273116222
"log(Species):Stream"	-0.28123746579146	0.0816639711139703	-3.44383774086818	0.000736637784496359
"log(Species):Latitude"	-0.00157074297385648	0.00104192791551511	-1.50753516674897	0.133695976936924
"log(Species):Lakeweb:Latitude"	0.00289546671722483	0.00182237060331795	1.58884625989528	0.114119772923941
"log(Species):Stream:Latitude"	0.00827508790032645	0.00183814239754202	4.50187532336558	1.31130901958628e-05
