"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.09906569489903	0.11641717020352	-9.44075253656871	6.2189163562433e-18
"log(Species)"	0.718048084558224	0.0518466396365979	13.8494623680753	1.22354509687701e-31
"log(Species):Lakeweb"	-0.0503345928985458	0.0629699658409373	-0.799342864909462	0.424969752849444
"log(Species):Stream"	-0.129845345657986	0.0765446893390601	-1.6963338251048	0.0912633155026098
"log(Species):Marine"	0.133244615660248	0.0273569204339904	4.87059996324346	2.14944832049455e-06
"log(Species):Latitude"	-0.00103954064924008	0.000966546600907224	-1.07552046457392	0.283341646013285
"log(Species):Lakeweb:Latitude"	0.00483373242051624	0.001533037867679	3.15304176265029	0.00184540861524937
"log(Species):Stream:Latitude"	0.00494124323871397	0.00173858030688062	2.84211388979759	0.00491090845081237
