"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.872779855674058	0.141008841777839	-6.18953992295838	3.01458681658361e-09
"log(Species)"	0.662546341490184	0.0614714138373537	10.7781210831299	6.18042044284533e-22
"log(Species):Lakeweb"	-0.0765292952406914	0.0757706039359961	-1.01001300326623	0.313624385971098
"log(Species):Stream"	-0.157988164316897	0.0865216722111538	-1.82599527123483	0.0692380126834621
"log(Species):Marine"	0.119747387909338	0.0369456640334658	3.24117568440155	0.00137957228992883
"log(Species):Terr"	-0.0586769271314724	0.0355151523594514	-1.65216599770146	0.0999603613018522
"log(Species):Latitude"	-0.00106486371972541	0.00106956000005747	-0.995609147376676	0.320559281218737
"log(Species):Lakeweb:Latitude"	0.004453897371407	0.00171481426337419	2.59730599781879	0.010044777797548
"log(Species):Stream:Latitude"	0.00507023352751462	0.00189063554960613	2.68176144713395	0.00789213490266401
