"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.02117853001742	0.135889526182857	-7.51476996573886	2.21517579879817e-12
"log(Species)"	0.639643907598728	0.0537192391617794	11.9071661769519	9.40205084729658e-25
"log(Species):Lakeweb"	-0.0744396866884972	0.0661274302776556	-1.12570058107415	0.261719692056863
"log(Species):Terr"	-0.0599690267186407	0.0256579016316633	-2.33725374660552	0.0204730193598862
"log(Species):Latitude"	-0.000821231795719082	0.000910207073953638	-0.902247212990692	0.368073953287754
"log(Species):Lakeweb:Latitude"	0.00339855129785003	0.00156153469887033	2.1764174054593	0.0307641816727608
