"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.47688896753475	0.129465235220126	-3.68352914760407	0.000316063038545467
"log(Species)"	0.717645161552976	0.0532050287504621	13.4882957195422	5.01354756644117e-28
"log(Species):Lakeweb"	-0.0235927278542632	0.0833037669065192	-0.283213217485569	0.777386487591032
"log(Species):Terr"	-0.0252283542965686	0.0278506324113677	-0.905844934647559	0.366406006129318
"log(Species):Latitude"	-0.0011964079430183	0.0009327804801276	-1.2826254070568	0.201513763273234
"log(Species):Lakeweb:Latitude"	0.00186466344503674	0.00185857851773958	1.0032739683791	0.317272474799007
