"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.32382560792092	0.136112355684247	-2.37910516126933	0.0183508316024744
"log(Species)"	0.638378941946312	0.053754838227551	11.8757485464652	1.16593871296998e-24
"log(Species):Lakeweb"	-0.0870735254351181	0.0643538040629155	-1.35304395292609	0.17765783576715
"log(Species):Terr"	-0.0608307733972229	0.0257919936615602	-2.35851381616472	0.0193694215984209
"log(Species):Latitude"	-0.000823960658505509	0.000909605288180628	-0.905844182319538	0.366171676155634
"log(Species):Lakeweb:Latitude"	0.0036025853352477	0.00153050175196728	2.35385900775154	0.0196064666099418
