"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.51818154532604	0.143417098274129	-3.61310855931266	0.0003759848468179
"log(Species)"	0.694981179711341	0.0529858348033574	13.1163580283405	2.50940196027073e-29
"log(Species):Latitude"	-0.00119651925254569	0.000891837517840063	-1.34163368170867	0.181117083224864
"log(Species):Lakeweb"	-0.0647079019579123	0.0673421167354474	-0.960883101018586	0.337680393797902
"log(Species):Marine"	0.126761984045723	0.0282915405847493	4.48056137720738	1.20425728157043e-05
"log(Species):Terr"	-0.0506185620672685	0.0264908863551264	-1.91079156011226	0.0573493617157958
"log(Species):Latitude:Lakeweb"	0.0035486861162823	0.00160117798436554	2.21629709559643	0.0277095726879203
