"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.48441013631855	0.121407535845528	-12.2266721417296	1.60138938197177e-26
"log(Species)"	0.770806907821866	0.0486004342856179	15.8600827163795	3.50971507631696e-38
"log(Species):Latitude"	-0.000832603131632919	0.00082960330259479	-1.00361598010609	0.316676431285364
"log(Species):Lakeweb"	-0.0426547309675943	0.0616421079300898	-0.691973918477453	0.489690049802779
"log(Species):Marine"	0.125659458808537	0.0253273415998537	4.96141524814681	1.40820646448713e-06
"log(Species):Latitude:Lakeweb"	0.00403035750964911	0.00149976520795704	2.68732564821876	0.0077582436445052
