"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.471707058695341	0.130167938441876	-3.62383444296441	0.000391579296008911
"log(Species)"	0.721793596441881	0.0533081337303828	13.5400274954757	3.62277544233525e-28
"log(Species):Lakeweb"	-0.0282342085826676	0.0836752956281266	-0.337425859935378	0.736246588814835
"log(Species):Terr"	-0.026807431695512	0.0279388600977463	-0.959503415734358	0.338780516655728
"log(Species):Latitude"	-0.00130290281048062	0.000939949210573646	-1.38614171470548	0.167669138136542
"log(Species):Lakeweb:Latitude"	0.00184440962558818	0.00186230866401374	0.990388790659983	0.323508036470939
