"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.626051746013262	0.135584869999753	-4.61741598464786	7.18742784750295e-06
"log(Species)"	0.552127922266852	0.0560554688692972	9.84967093138106	1.01648325362842e-18
"log(Species):Lakeweb"	-0.0596825003495107	0.0648993276499786	-0.919616620242912	0.358951569357097
"log(Species):Stream"	-0.191678363973748	0.0893595728836243	-2.14502327829361	0.0332342017418349
"log(Species):Latitude"	-0.000645627958584815	0.00103251959123325	-0.625293664223526	0.532536604266613
"log(Species):Lakeweb:Latitude"	0.00433715078563124	0.00160139825243265	2.70835239082018	0.00738588792801827
"log(Species):Stream:Latitude"	0.00668544900855206	0.00200948825598077	3.32694107002337	0.00105610525791677
