"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.48414170569328	0.120193161484083	-12.3479712769667	6.60066217861333e-27
"log(Species)"	0.770735949652238	0.0481345547306294	16.0121134175943	1.1412388211166e-38
"log(Species):Lakeweb"	-0.0488801704327569	0.0611484704516316	-0.799368652588311	0.424946787836562
"log(Species):Marine"	0.12564674945737	0.0250917476093334	5.00749295798883	1.13708354837079e-06
"log(Species):Latitude"	-0.00083262988047408	0.000821917781756431	-1.01303305385942	0.312167399402414
"log(Species):Lakeweb:Latitude"	0.00437754216797182	0.00149445419709932	2.92919125689397	0.00375965621520377
