"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-1.22571486182958	0.120370771916794	-10.1828279599042	3.13792415402246e-20
"log(Species)"	0.695878490038279	0.0358452230652369	19.4134233387754	9.7294493004943e-50
