"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	-0.961805287592399	0.116437500327963	-8.26027083098948	1.30917307888698e-14
"log(Species)"	0.713728150418975	0.0346739337627535	20.5839970538808	2.24100875091564e-53
