resource,consumer
sp6,sp20
sp19,sp8
sp9,sp2
sp3,sp9
sp5,sp5
sp19,sp5
sp20,sp1
sp18,sp1
sp11,sp1
sp8,sp10
sp19,sp19
sp6,sp10
sp8,sp4
sp5,sp11
sp19,sp6
sp16,sp18
sp9,sp18
sp3,sp16
sp6,sp14
sp16,sp11
sp5,sp12
sp8,sp15
sp19,sp7
sp8,sp22
sp7,sp1
sp11,sp17
sp6,sp4
sp9,sp11
sp19,sp3
sp12,sp22
sp12,sp1
sp6,sp22
sp5,sp20
sp12,sp15
sp7,sp4
sp2,sp4
sp6,sp15
sp16,sp12
sp8,sp1
sp3,sp7
sp6,sp1
sp2,sp22
sp8,sp21
sp16,sp16
sp9,sp20
sp5,sp16
sp19,sp9
sp3,sp2
sp19,sp16
sp9,sp7
sp12,sp4
sp9,sp5
sp12,sp21
sp3,sp6
sp19,sp12
sp6,sp21
sp3,sp12
sp3,sp8
sp9,sp16
sp2,sp1
sp9,sp4
sp19,sp2
sp7,sp21
sp2,sp21
sp16,sp20
sp9,sp12
sp9,sp9
sp5,sp18
sp9,sp6
sp6,sp17
sp3,sp5
