"Latitude"	"Marginal"	"Upper"	"Lower"	"Marine"	"Marine_upper"	"Marine_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"	"Stream"	"Stream_upper"	"Stream_lower"
"1"	0	-0.265561106985806	-0.0916980900710663	-0.439424123900546	-0.625034140364025	-0.370674314119942	-0.879393966608108	-0.0395699145151729	0.198200489558335	-0.277340318588681	-0.135092327888222	0.0464321190306263	-0.31661677480707
"2"	0.452261306532663	-0.262387191103773	-0.0899090827760504	-0.434865299431495	-0.621860224481991	-0.368649877072404	-0.875070571891579	-0.0409934362514135	0.194375949506298	-0.276362822009125	-0.131918412006188	0.0480779587186647	-0.311914782731041
"3"	0.904522613065327	-0.259213275221739	-0.0881146318116319	-0.430311918631846	-0.618686308599958	-0.366619377832547	-0.870753239367369	-0.0424169579876542	0.190557986464758	-0.275391902440067	-0.128744496124154	0.0497266803775394	-0.307215672625848
"4"	1.35678391959799	-0.256039359339705	-0.0863146044448946	-0.425764114234516	-0.615512392717924	-0.364582733529185	-0.866442051906663	-0.0438404797238948	0.186746805322799	-0.274427764770589	-0.125570580242121	0.0513783585298707	-0.302519519014112
"5"	1.80904522613065	-0.252865443457672	-0.0845088641556337	-0.421222022759709	-0.61233847683589	-0.362539860231423	-0.862137093440358	-0.0452640014601354	0.182942618951641	-0.273470621871912	-0.122396664360087	0.0530330701378719	-0.297826398858046
"6"	2.26130653266332	-0.249691527575638	-0.0826972705267253	-0.416685784624551	-0.609164560953857	-0.360490672945305	-0.857838448962409	-0.0466875231963761	0.179145648561634	-0.272520694954386	-0.119222748478054	0.0546908946968567	-0.293136391652964
"7"	2.71356783919598	-0.246517611693604	-0.0808796791322239	-0.412155544254985	-0.605990645071823	-0.358435085611064	-0.853546204532582	-0.0481110449326167	0.175356124076076	-0.271578213941309	-0.11604883259602	0.0563519143326716	-0.288449579524712
"8"	3.16582914572864	-0.243343695811571	-0.0790559414232607	-0.407631450199881	-0.60281672918979	-0.356373011101006	-0.849260447278573	-0.0495345666688574	0.171574284522575	-0.27064341786029	-0.112874916713986	0.0580162139032187	-0.283766047331191
"9"	3.61809045226131	-0.240169779929537	-0.077225904611825	-0.403113655247249	-0.599642813307756	-0.354304361218049	-0.844981265397463	-0.050958088405098	0.167800378442677	-0.269716555252873	-0.109701000831953	0.0596838811042392	-0.279085882768144
"10"	4.07035175879397	-0.236995864047503	-0.0753894115525313	-0.398602316542475	-0.596468897425722	-0.352229046694973	-0.840708748156471	-0.0523816101413386	0.164034664320499	-0.268797884603177	-0.106527084949919	0.0613550065795346	-0.274409176479373
"11"	4.52261306532663	-0.23382194816547	-0.0735463006224934	-0.394097595708446	-0.593294981543689	-0.350146977194406	-0.836442985892971	-0.0538051318775793	0.160277411031115	-0.267887674786274	-0.103353169067885	0.0630296840358079	-0.269736022171579
"12"	4.9748743718593	-0.230648032283436	-0.071696405599447	-0.389599658967425	-0.590121065661655	-0.348058061309578	-0.832184070013732	-0.0552286536138199	0.156528898309418	-0.266986205537058	-0.100179253185852	0.0647080103623122	-0.265066516734016
"13"	5.42713567839196	-0.227474116401402	-0.0698395555382869	-0.385108677264518	-0.586947149779621	-0.345962206565893	-0.82793209299335	-0.0566521753500605	0.152789417240217	-0.266093767940338	-0.0970053373038181	0.0663900857554993	-0.260400760363136
"14"	5.87939698492462	-0.224300200519369	-0.0679755746462088	-0.380624826392529	-0.583773233897588	-0.343859319423355	-0.823687148371821	-0.0580756970863012	0.149059270770261	-0.265210664942863	-0.0938314214217845	0.0680760138488668	-0.255738856692436
"15"	6.33165829145729	-0.221126284637335	-0.0661042821566718	-0.376148287117999	-0.580599318015554	-0.341749305279883	-0.819449330751225	-0.0594992188225418	0.145338774242917	-0.264337211888001	-0.0906575055397509	0.0697659018482052	-0.251080912927707
"16"	6.78391959798995	-0.217952368755302	-0.0642254922024317	-0.371679245308172	-0.577425402133521	-0.33963206847556	-0.815218735791481	-0.0609227405587825	0.141628255956144	-0.263473737073708	-0.0874835896577172	0.0714598606724528	-0.246427039987887
"17"	7.23618090452261	-0.214778452873268	-0.0623390136879215	-0.367217892058614	-0.574251486251487	-0.337507512297857	-0.810995460205117	-0.0623462622950231	0.137928057744399	-0.262620582334445	-0.0843096737756836	0.0731580051003686	-0.241777352651736
"18"	7.68844221105528	-0.211604536991234	-0.060444650161296	-0.362764423821173	-0.571077570369453	-0.335375538987874	-0.806779601751032	-0.0637697840312638	0.134238535585046	-0.261778103647574	-0.0811357578936499	0.0748604539232365	-0.237131969710536
"19"	8.14070351758794	-0.208430621109201	-0.0585421996864914	-0.35831904253191	-0.56790365448742	-0.333236049747643	-0.802571259227197	-0.0651933057675044	0.130560060229751	-0.26094667176476	-0.0779618420116163	0.0765673301038179	-0.23249101412705
"20"	8.5929648241206	-0.205256705227167	-0.0566314547156916	-0.353881955738642	-0.564729738605386	-0.331088944748533	-0.798370532462239	-0.066616827503745	0.126893017861277	-0.260126672868767	-0.0747879261295827	0.0782787609417694	-0.227854613200935
"21"	9.04522613065327	-0.202082789345133	-0.0547122019626402	-0.349453376727627	-0.561555822723352	-0.328934123140807	-0.794177522305898	-0.0680403492399857	0.123237810775978	-0.259318509255949	-0.071614010247549	0.0799948782457451	-0.223222898740843
"22"	9.49748743718593	-0.1989088734631	-0.0527842222772766	-0.345033524648923	-0.558381906841319	-0.326771483064368	-0.78999233061827	-0.0694638709762263	0.119594858092149	-0.258522600044601	-0.0684400943655154	0.0817158185124	-0.218596007243431
