resource,consumer
sp23,sp43
sp12,sp34
sp20,sp68
sp4,sp26
sp3,sp15
sp13,sp31
sp18,sp44
sp4,sp30
sp24,sp38
sp11,sp33
sp19,sp69
sp3,sp27
sp18,sp64
sp36,sp38
sp14,sp42
sp2,sp37
sp3,sp25
sp24,sp59
sp21,sp59
sp36,sp43
sp20,sp58
sp24,sp49
sp12,sp16
sp5,sp37
sp14,sp14
sp10,sp28
sp32,sp39
sp3,sp35
sp21,sp68
sp15,sp36
sp13,sp13
sp5,sp41
sp9,sp44
sp12,sp41
sp17,sp47
sp24,sp72
sp9,sp22
sp18,sp55
sp21,sp50
sp19,sp54
sp2,sp41
sp20,sp51
sp5,sp14
sp17,sp51
sp9,sp11
sp35,sp39
sp27,sp38
sp11,sp41
sp28,sp43
sp5,sp30
sp5,sp24
sp10,sp33
sp12,sp22
sp14,sp20
sp24,sp65
sp18,sp72
sp2,sp15
sp9,sp16
sp19,sp73
sp9,sp29
sp12,sp37
sp9,sp30
sp24,sp55
sp20,sp56
sp10,sp42
sp4,sp10
sp24,sp45
sp1,sp4
sp4,sp23
sp11,sp26
sp28,sp38
sp18,sp49
sp14,sp30
sp20,sp61
sp14,sp29
sp19,sp64
sp21,sp64
sp12,sp32
sp18,sp61
sp21,sp71
sp2,sp32
sp21,sp44
sp20,sp48
sp24,sp52
sp20,sp44
sp2,sp23
sp4,sp24
sp3,sp13
sp12,sp11
sp13,sp33
sp18,sp46
sp4,sp32
sp17,sp39
sp13,sp27
sp11,sp31
sp17,sp71
sp15,sp26
sp11,sp12
sp12,sp35
sp21,sp38
sp4,sp8
sp19,sp38
sp24,sp69
sp30,sp38
sp2,sp35
sp20,sp43
sp2,sp28
sp9,sp25
sp18,sp58
sp12,sp31
sp4,sp9
sp19,sp59
sp14,sp23
sp17,sp56
sp9,sp19
sp19,sp49
sp5,sp35
sp23,sp39
sp14,sp12
sp10,sp26
sp3,sp37
sp15,sp34
sp13,sp11
sp24,sp60
sp17,sp67
sp10,sp16
sp2,sp10
sp24,sp70
sp17,sp68
sp25,sp39
sp18,sp53
sp21,sp56
sp21,sp48
sp19,sp56
sp20,sp53
sp5,sp16
sp9,sp13
sp4,sp17
sp12,sp27
sp9,sp63
sp5,sp26
sp10,sp35
sp20,sp64
sp14,sp26
sp24,sp67
sp3,sp29
sp2,sp17
sp17,sp48
sp19,sp71
sp15,sp42
sp9,sp36
sp24,sp57
sp2,sp24
sp17,sp58
sp9,sp18
sp12,sp33
sp4,sp21
sp3,sp18
sp26,sp39
sp13,sp34
sp4,sp35
sp14,sp32
sp13,sp22
sp33,sp39
sp20,sp63
sp19,sp66
sp9,sp42
sp21,sp62
sp3,sp20
sp18,sp67
sp21,sp73
sp14,sp41
sp20,sp72
sp1,sp9
sp2,sp30
sp21,sp46
