resource,consumer
sp51,sp56
sp7,sp2
sp60,sp55
sp54,sp21
sp65,sp33
sp24,sp28
sp69,sp24
sp42,sp76
sp11,sp33
sp23,sp70
sp8,sp50
sp25,sp13
sp36,sp38
sp38,sp67
sp23,sp29
sp74,sp15
sp70,sp40
sp5,sp56
sp42,sp9
sp51,sp2
sp8,sp29
sp65,sp15
sp61,sp38
sp5,sp74
sp74,sp56
sp65,sp5
sp29,sp52
sp44,sp56
sp69,sp15
sp24,sp66
sp42,sp49
sp46,sp57
sp51,sp76
sp42,sp63
sp48,sp66
sp20,sp13
sp74,sp31
sp36,sp57
sp58,sp55
sp7,sp68
sp61,sp62
sp61,sp14
sp65,sp24
sp7,sp7
sp20,sp20
sp36,sp14
sp36,sp1
sp7,sp35
sp49,sp2
sp41,sp17
sp19,sp33
sp51,sp38
sp7,sp28
sp51,sp57
sp61,sp1
sp65,sp3
sp78,sp62
sp64,sp60
sp69,sp57
sp12,sp41
sp23,sp40
sp32,sp10
sp65,sp13
sp29,sp34
sp51,sp32
sp49,sp16
sp65,sp55
sp37,sp22
sp36,sp48
sp69,sp39
sp48,sp13
sp11,sp21
sp59,sp7
sp50,sp33
sp5,sp14
sp34,sp2
sp65,sp49
sp61,sp40
sp54,sp66
sp22,sp53
sp57,sp20
sp55,sp53
sp42,sp52
sp42,sp5
sp20,sp18
sp36,sp55
sp28,sp43
sp29,sp8
sp9,sp58
sp57,sp51
sp5,sp30
sp30,sp70
sp8,sp52
sp12,sp12
sp65,sp1
sp36,sp63
sp34,sp11
sp28,sp27
sp8,sp63
sp60,sp21
sp57,sp19
sp42,sp60
sp57,sp36
sp36,sp34
sp69,sp48
sp37,sp21
sp68,sp53
sp20,sp66
sp74,sp66
sp9,sp7
sp9,sp30
sp24,sp55
sp20,sp56
sp61,sp49
sp3,sp53
sp67,sp55
sp8,sp32
sp9,sp68
sp54,sp43
sp9,sp51
sp71,sp56
sp61,sp66
sp67,sp16
sp42,sp12
sp8,sp70
sp69,sp31
sp7,sp73
sp73,sp4
sp31,sp17
sp51,sp3
sp8,sp40
sp71,sp33
sp64,sp66
sp69,sp41
sp14,sp66
sp1,sp53
sp46,sp77
sp27,sp53
sp69,sp67
sp61,sp33
sp57,sp71
sp58,sp21
sp57,sp44
sp69,sp3
sp74,sp58
sp57,sp5
sp74,sp49
sp51,sp31
sp58,sp13
sp8,sp68
sp30,sp50
sp36,sp66
sp73,sp6
sp61,sp45
sp12,sp48
sp36,sp52
sp42,sp8
sp41,sp31
sp61,sp13
sp42,sp3
sp57,sp69
sp65,sp21
sp37,sp1
sp51,sp63
sp11,sp66
sp8,sp76
sp54,sp27
sp76,sp13
sp64,sp12
sp46,sp70
sp20,sp75
sp69,sp68
sp67,sp33
sp30,sp38
sp20,sp43
sp74,sp34
sp34,sp52
sp28,sp53
sp46,sp65
sp30,sp47
sp57,sp2
sp42,sp61
sp65,sp52
sp24,sp21
sp64,sp48
sp56,sp53
sp61,sp60
sp64,sp28
sp65,sp29
sp65,sp9
sp30,sp77
sp74,sp71
sp36,sp68
sp46,sp37
sp74,sp28
sp70,sp33
sp74,sp13
sp54,sp6
sp42,sp20
sp23,sp60
sp34,sp3
sp73,sp33
sp78,sp13
sp37,sp31
sp69,sp55
sp5,sp61
sp36,sp24
sp65,sp63
sp18,sp53
sp74,sp63
sp19,sp56
sp64,sp55
sp64,sp63
sp38,sp56
sp23,sp58
sp34,sp33
sp30,sp40
sp51,sp19
sp46,sp45
sp62,sp28
sp9,sp63
sp23,sp11
sp40,sp21
sp57,sp57
sp9,sp76
sp36,sp12
sp65,sp39
sp32,sp32
sp40,sp55
sp51,sp50
sp39,sp66
sp76,sp20
sp41,sp18
sp74,sp24
sp29,sp24
sp57,sp30
sp5,sp68
sp57,sp29
sp65,sp70
sp74,sp68
sp9,sp36
sp74,sp14
sp37,sp45
sp12,sp16
sp59,sp13
sp13,sp53
sp65,sp40
sp30,sp49
sp61,sp2
sp8,sp15
sp47,sp41
sp58,sp16
sp70,sp55
sp76,sp10
sp74,sp32
sp65,sp30
sp69,sp33
sp44,sp68
sp42,sp71
sp41,sp28
sp12,sp66
sp44,sp33
sp19,sp66
sp70,sp66
sp9,sp42
sp51,sp39
sp74,sp40
sp61,sp29
sp65,sp16
sp30,sp37
sp23,sp5
sp57,sp46
sp36,sp28
sp51,sp5
sp57,sp61
sp42,sp16
sp11,sp2
sp10,sp53
sp69,sp16
sp38,sp3
sp61,sp50
sp61,sp34
sp49,sp55
sp41,sp41
sp29,sp56
sp20,sp16
sp29,sp67
sp69,sp20
sp70,sp2
sp57,sp77
sp61,sp11
sp62,sp53
sp61,sp78
sp7,sp56
sp78,sp20
sp47,sp20
sp31,sp6
sp46,sp50
sp37,sp66
sp74,sp19
sp5,sp42
sp65,sp11
sp42,sp29
sp69,sp58
sp5,sp78
sp5,sp64
sp36,sp21
sp74,sp52
sp37,sp15
sp65,sp56
