resource,consumer
sp17,sp15
sp14,sp15
sp14,sp16
sp21,sp4
sp3,sp11
sp21,sp17
sp10,sp6
sp5,sp10
sp14,sp20
sp8,sp23
sp4,sp15
sp22,sp13
sp10,sp18
sp22,sp9
sp3,sp4
sp2,sp14
sp6,sp23
sp2,sp13
sp13,sp16
sp21,sp13
sp3,sp13
sp21,sp14
sp3,sp8
sp17,sp10
sp15,sp20
sp9,sp14
sp18,sp6
sp9,sp8
sp11,sp17
sp15,sp6
sp2,sp8
sp22,sp14
sp21,sp11
sp3,sp3
sp9,sp15
sp5,sp20
sp14,sp13
sp3,sp15
sp21,sp15
sp17,sp20
sp17,sp18
sp3,sp7
sp17,sp17
sp14,sp17
sp9,sp17
sp9,sp13
sp4,sp6
sp6,sp19
sp7,sp8
sp10,sp20
sp8,sp16
sp4,sp18
sp4,sp20
sp3,sp17
sp17,sp6
sp5,sp23
sp18,sp20
sp4,sp17
sp22,sp2
sp9,sp4
sp11,sp10
sp12,sp21
sp13,sp23
sp5,sp6
sp7,sp13
sp15,sp18
sp4,sp10
sp21,sp3
sp18,sp18
sp21,sp8
sp22,sp8
sp12,sp9
sp5,sp18
sp11,sp15
sp21,sp7
sp22,sp21
sp15,sp10
sp3,sp14
sp14,sp4
