Web	Ecotype	Site	Latitude	Species	Links	Connectance	LS	LinkSD	Gen	GenSD	Vul	VulSD	Path	SWTL	Clus	Basal	Herbivores	Intermediate	Toppreds
WEB202.web	stream	Cement	38.83916667	6	16	0.444444444444	2.66666666667	1.24721912892	2.66666666667	1.6996731712	1.33333333333	0.942809041582	0.266666666667	1.0	0.633333333333	0.5	0.333333333333	0.0	0.166666666667
WEB249.web	stream	Parana	24.5	40	366	0.22875	9.15	4.6848158982	5.13888888889	2.58363200185	4.625	5.14629721256	0.640384615385	1.0	0.263131502675	0.1	0.15	0.75	0.0
WEB250.web	lake	Itaipu	22.96055556	32	274	0.267578125	8.5625	3.80532110997	4.96428571429	3.20136291129	4.34375	4.08204433311	0.371975806452	1.0	0.279985392306	0.125	0.1875	0.65625	0.03125
WEB251.web	lake	Itaipu	22.96055556	33	278	0.255280073462	8.42424242424	3.91835875764	5.03571428571	3.23465766412	4.27272727273	4.03974742139	0.367424242424	1.0	0.273860979446	0.151515151515	0.181818181818	0.636363636364	0.030303030303
WEB252.web	stream	Corrente	18.66666667	12	55	0.381944444444	4.58333333333	1.60078105936	3.5	1.58113883008	2.33333333333	1.88561808316	0.310606060606	1.0	0.315476190476	0.333333333333	0.166666666667	0.333333333333	0.166666666667
WEB253.web	marine	Angola	11.125	28	251	0.320153061224	8.96428571429	3.78048830665	4.88461538462	2.42307692308	4.53571428571	4.23827915599	0.510582010582	1.0	0.377479017046	0.0714285714286	0.178571428571	0.642857142857	0.107142857143
WEB254.web	stream	Pantanal	21	39	496	0.326101249178	12.7179487179	6.30404313872	7.08571428571	5.84256024394	6.35897435897	5.86378358421	0.432523616734	1.0	0.34667862096	0.102564102564	0.282051282051	0.538461538462	0.0769230769231
WEB255.web	stream	Pantanal	21	39	458	0.301117685733	11.7435897436	5.45714280797	6.54285714286	4.82459684263	5.87179487179	5.70280851717	0.437246963563	1.0	0.301358659229	0.102564102564	0.282051282051	0.538461538462	0.0769230769231
WEB213.web	stream	Dinmael	53	32	216	0.2109375	6.75	4.11551940829	4.32	2.61870196853	3.375	4.78767950055	0.17439516129	1.0	0.198689440703	0.21875	0.28125	0.09375	0.40625
WEB257.web	estuary	Mondego	40.13333333	38	478	0.331024930748	12.5789473684	9.00922887855	7.8064516129	8.9997109446	6.36842105263	4.83638105586	0.411806543385	1.0	0.517177368678	0.184210526316	0.473684210526	0.315789473684	0.0263157894737
