resource,consumer
sp25,sp9
sp25,sp12
sp16,sp10
sp17,sp30
sp8,sp14
sp18,sp27
sp26,sp5
sp19,sp23
sp34,sp2
sp15,sp13
sp8,sp27
sp22,sp21
sp25,sp13
sp31,sp33
sp13,sp2
sp15,sp2
sp24,sp2
sp7,sp14
sp17,sp27
sp17,sp14
sp15,sp12
sp25,sp23
sp31,sp11
sp32,sp2
sp9,sp2
sp34,sp12
sp8,sp5
sp28,sp23
sp13,sp5
sp28,sp14
sp33,sp2
sp16,sp21
sp26,sp12
sp25,sp32
sp5,sp2
sp29,sp2
sp1,sp14
sp15,sp5
sp25,sp5
sp21,sp12
sp6,sp2
sp19,sp12
sp18,sp2
sp26,sp2
sp34,sp13
sp8,sp2
sp26,sp6
sp23,sp2
sp10,sp2
sp4,sp14
sp3,sp2
sp21,sp13
sp8,sp32
sp12,sp2
