resource,consumer
sp17,sp15
sp14,sp15
sp14,sp16
sp2,sp2
sp18,sp5
sp2,sp3
sp14,sp20
sp9,sp14
sp21,sp15
sp3,sp15
sp8,sp23
sp5,sp23
sp22,sp13
sp10,sp18
sp2,sp7
sp22,sp14
sp3,sp10
sp13,sp16
sp21,sp13
sp4,sp5
sp21,sp14
sp2,sp13
sp21,sp8
sp17,sp10
sp15,sp20
sp14,sp3
sp2,sp14
sp9,sp8
sp21,sp17
sp2,sp8
sp10,sp5
sp3,sp18
sp14,sp13
sp9,sp15
sp17,sp20
sp17,sp18
sp17,sp17
sp14,sp17
sp9,sp17
sp2,sp17
sp1,sp13
sp2,sp15
sp3,sp20
sp10,sp20
sp8,sp16
sp4,sp18
sp4,sp20
sp3,sp17
sp9,sp13
sp18,sp20
sp5,sp19
sp2,sp11
sp1,sp14
sp15,sp5
sp11,sp10
sp12,sp21
sp13,sp23
sp7,sp8
sp7,sp13
sp15,sp18
sp9,sp3
sp22,sp1
sp4,sp10
sp11,sp17
sp21,sp3
sp18,sp18
sp1,sp3
sp17,sp5
sp22,sp8
sp12,sp9
sp11,sp15
sp1,sp8
sp22,sp21
sp4,sp23
sp15,sp10
sp3,sp5
sp22,sp9
