Thompson Number*Location*Ecosystem*type*Source/Sink*Year_Collected*Year_Published*Reference*pdf*Latitude(degrees)*Latitude(decimal)*Described_Location*Species*Links*Natural/Modified*Notes*Resolution*Verdict*multisite?*humans?**
338*South Atlantic*Marine**no*2009*2013*Torres, M.A., Coll, M., Heymans, J.J., Christensen, V., and Sobrino, I. (2013). Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological Modelling. 265, pp. 26-44.*Torres et al 2013*36-37 N**Gulf of Cadiz, N Spain***modified - fishing*fishing for long time - doesn't sound like outright extinction**do not use - can't find web**no*1*
1*India*estuary*****Qazim, S.Z. (1970) Some problems related to the food chain in a tropical estuary. In: J.H. Steele (ed.). (1970) Marine Food Chains. (Oliver and Boyd, Edinburgh), pp. 45-51, from p. 50.**********do not use - cannot find original source**no*1*
2*South Africa*estuary*****Day, J.H. (1967). The biology of Knysna estuary, South Africa, in: Lauff, G.H. (Ed.) (1967). Estuaries. (American Association for the Advancement of Science Publication 83, Washington, DC), pp. 397-407.**********do not use - cannot find original source**no*1*
9*Ireland*Stream*****Kitching, J.A., and Ebling, F.J. (1967). Ecological studies at Lough Ine. Advances in Ecological Research. 4:197-291.**********do not use - cannot find original source**no*1*
16*USA*Estuary*****Copeland, B. J.,Tenore, K.R. and Horton, D.B. (1974). Oligohaline regime. in: H. T. Odum, B. J. Copeland, and E. A. McMahan, (eds). Coastal ecological systems of the United States. Volume 2. (The Conservation Foundation, Washington, DC).**********do not use - cannot find original source**no*1*
19*USA*lake*****Brooks, J.L. and Deevey, E.S. (1963). New England, In: D. G. Frey, (ed). Limnology in North America. (University of Wisconsin Press, Madison, Wisconsin, USA), pp. 117-162**********do not use - cannot find original source**no*1*
20*Antarctica*Ice*****Knox, G.A. (1970). Antarctic marine ecosystems, In: M. W. Holdgate, (ed). Antarctic ecology. (Academic Press, New York, USA), pp. 69-96.**********do not use - cannot find original source**no*1*
27*England*Terrestrial*****Varley, G.C. (1970). The concept of energy applied to a woodland community. In: A. Watson, (ed). Animal populations in relation to their food resources. (Blackwell Scientific, Oxford, England), pp. 389-401.**********do not use - cannot find original source**no*1*
31*Black Sea*Marine*****Petipa, T.S., Pavlova, E.V. and Mironov, G.N. (1970). The food web structure, utilization and transport of energy by trophic levels in the planktonic communities. In: J.H. Steele (ed). Marine food chains. (Oliver and Boyd, Edinburgh), pp. 142-167.**********do not use - cannot find original source**no*1*
32*Black Sea*Marine*****Petipa, T.S., Pavlova, E.V. and Mironov, G.N. (1970). The food web structure, utilization and transport of energy by trophic levels in the planktonic communities. In: J.H. Steele (ed). Marine food chains. (Oliver and Boyd, Edinburgh), pp. 142-167.**********do not use - cannot find original source**no*1*
41*Israel*Marine*****Parin, N.V. (1970). Ichthyofauna of the epipelagic zone. Israel Program for Scientific Translations, Jerusalem. (U.S. Department of Commerce Clearinghouse for Federal Scientific and Technical Information, Springfield, VA 22151), from p. 154.**********do not use - cannot find original source**no*1*
55*Scotland*estuary*****Milne, H. and Dunnet, G.M., (1972). Standing crop, productivity and trophic relations of the fauna of the Ythan estuary. In: R.S.K. Barnes, and J. Green, (eds). The Estuarine Environment, (Applied Science Publications, Edinburgh, Scotland), pp. 86-106.**********do not use - cannot find original source**no*1*
