Thompson Number*Location*Ecotype*Reference*Latitude(degrees)*Latitude(decimal)*Described_Location*Notes**Verdict*Sitename
138*UK*lake*Kitching, R.L. (1983). Community structure in water-filled treeholes in Europe and Australia - comparisons and speculations. In: J.  H. Frank and L. P. Lounibos, (eds), Phytotelmata: Terrestrial Plants as Hosts for Aquatic Insect Communities, (Plexus P...******do not use - cannot find original source*
139*Australia*lake*Kitching, R.L. (1983). Community structure in water-filled treeholes in Europe and Australia - comparisons and speculations. In: J.  H. Frank and L. P. Lounibos, (eds), Phytotelmata: Terrestrial Plants as Hosts for Aquatic Insect Communities, (Plexus P...******do not use - cannot find original source*
144*Germany*lake*Kitching, R.L. and Pimm, S.L. (1988).  The length of food chains:  phytotelmata in Australia and elsewhere.  Proc. Ecol. Soc. Aust.  14:123-140. (from Snow, E.W. (1958), Stratification of arthropods in a wet stump cavity. Ecology 39(1):83-88.). ******do not use - cannot find original source*
20*Antarctica*terrestrial*Knox, G.A. (1970). Antarctic marine ecosystems, In: M. W. Holdgate, (ed). Antarctic ecology. (Academic Press, New York, USA), pp.  69-96. ******do not use - cannot find original source*
115*Peru*marine*Koepcke, H.W. and Koepcke, M. (1952). Sobre el proceso de transformacion de la materia organica en las playas arenosas marinas  del Peru.  Publ. Univ. Nac. Mayer San Marcos, Zoologie Serie A, No. 8, p. 24. ******do not use - cannot find original source*
88*Finland*stream*Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the Jäväjänkoski Rapids  on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland). ******do not use - cannot find original source*
189*USA*terrestrial*M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-  576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-E...***Chihuahuan Desert***do not use - cannot find original source*
190*USA*terrestrial*M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-  576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-E...***Chihuahuan Desert***do not use - cannot find original source*
191*USA*terrestrial*M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-  576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-E...***Chihuahuan Desert***do not use - cannot find original source*
192*USA*terrestrial*M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-  576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-E...***Chihuahuan Desert***do not use - cannot find original source*
193*USA*terrestrial*M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-  576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-E...***Chihuahuan Desert***do not use - cannot find original source*
