resource,consumer
sp14,sp15
sp20,sp33
sp29,sp20
sp29,sp34
sp17,sp18
sp5,sp23
sp21,sp4
sp12,sp23
sp26,sp14
sp11,sp33
sp29,sp4
sp17,sp14
sp11,sp4
sp9,sp23
sp29,sp27
sp29,sp8
sp15,sp33
sp8,sp33
sp30,sp33
sp25,sp4
sp16,sp2
sp10,sp33
sp21,sp33
sp24,sp15
sp35,sp6
sp32,sp33
sp7,sp33
sp2,sp33
sp11,sp7
sp21,sp15
sp25,sp27
sp19,sp6
sp10,sp6
sp11,sp8
sp29,sp15
sp16,sp3
sp10,sp34
sp15,sp8
sp14,sp4
sp24,sp33
sp31,sp27
sp24,sp4
sp35,sp22
sp31,sp23
sp1,sp33
sp35,sp23
sp4,sp33
sp27,sp33
sp21,sp8
sp19,sp33
sp34,sp33
sp28,sp33
