"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	0.493464380145853	0.113106522822522	4.36282866656736	2.33317619665869e-05
"log(Basal)"	-0.0678070635017134	0.124878847985133	-0.542982775672195	0.587921621010613
"log(Basal):Latitude"	-0.00720400921259734	0.0026626598087092	-2.70556876587613	0.00758232953261656
"log(Basal):Marine"	-0.101733121208788	0.191296381210849	-0.531808916430344	0.595619736799651
"log(Basal):Stream"	-0.296106535219337	0.0706220806460476	-4.192832220611	4.61691686808494e-05
"log(Basal):Terr"	-0.300730826834374	0.174718185137402	-1.72123369183278	0.0872036698617907
"log(Basal):Latitude:Marine"	0.00914595142080705	0.00442545967850471	2.0666669872128	0.040429067659544
"log(Basal):Latitude:Terr"	0.0119989455541672	0.00434521192498735	2.76141779993897	0.00645059348176303
