"Latitude"	"Marginal"	"Upper"	"Lower"	"Lakeweb"	"Lakeweb_upper"	"Lakeweb_lower"	"Marine"	"Marine_upper"	"Marine_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"	"Stream"	"Stream_upper"	"Stream_lower"
"1"	0	-0.528531280722711	-0.351092157625837	-0.705970403819584	-0.277336837881741	-0.132164185275221	-0.422509490488261	-0.419575653284114	-0.262284371461044	-0.576866935107184	-0.771480307848115	-0.524860888400181	-1.01809972729605	-0.920645361542785	-0.683887578667202	-1.15740314441837
"2"	0.452261306532663	-0.529632911316583	-0.353213496885262	-0.706052325747903	-0.278438468475613	-0.134452818070822	-0.422424118880404	-0.420677283877986	-0.264512279974722	-0.576842287781249	-0.767823143895938	-0.520446133306968	-1.01520015448491	-0.917902626615517	-0.680411339311679	-1.15539391391936
"3"	0.904522613065327	-0.530734541910455	-0.355329289452513	-0.706139794368396	-0.279540099069485	-0.136737223052194	-0.422342975086775	-0.421778914471858	-0.266735388424139	-0.576822440519577	-0.764165979943761	-0.516005808925217	-1.0123261509623	-0.91515989168825	-0.676917242598853	-1.15340254077765
"4"	1.35678391959799	-0.531836172504326	-0.357439438561228	-0.706232906447425	-0.280641729663356	-0.139017294293714	-0.422266165032998	-0.422880545065729	-0.268953591892627	-0.576807498238832	-0.760508815991584	-0.511540156548494	-1.00947747543467	-0.912417156760983	-0.673405456938863	-1.1514288565831
"5"	1.80904522613065	-0.532937803098198	-0.359543845738528	-0.706331760457869	-0.281743360257228	-0.141292922709417	-0.42219379780504	-0.423982175659601	-0.271166782862799	-0.576797568456403	-0.756851652039407	-0.507049422099915	-1.0066538819789	-0.909674421833715	-0.669876152520921	-1.14947269114651
"6"	2.26130653266332	-0.53403943369207	-0.361642410787624	-0.706436456596516	-0.2828449908511	-0.14356399595368	-0.42212598574852	-0.425083806253473	-0.273374851155995	-0.576792761350952	-0.75319448808723	-0.502533855810211	-1.00385512036425	-0.906931686906448	-0.666329501160369	-1.14753387265253
"7"	2.71356783919598	-0.535141064285942	-0.363735031771254	-0.70654709680063	-0.283946621444972	-0.145830398319301	-0.422062844570642	-0.426185436847345	-0.275577683871151	-0.576793189823539	-0.749537324135053	-0.497993711898118	-1.00108093637199	-0.904188951979181	-0.662765676148129	-1.14561222781023
"8"	3.16582914572864	-0.536242694879814	-0.365821604996026	-0.706663784763601	-0.285048252038844	-0.148092010632961	-0.422004493444726	-0.427287067441217	-0.277775165323195	-0.576798969559239	-0.745880160182876	-0.493429248253817	-0.998331072111935	-0.901446217051913	-0.659184852102758	-1.14370758200107
"9"	3.61809045226131	-0.537344325473686	-0.367902024997768	-0.706786625949603	-0.286149882632716	-0.150348710148108	-0.421951055117324	-0.428388698035089	-0.279967176981027	-0.576810219089151	-0.742222996230699	-0.488840726126139	-0.995605266335258	-0.898703482124646	-0.655587204825312	-1.14181975942398
"10"	4.07035175879397	-0.538445956067558	-0.369976184527955	-0.70691572760716	-0.287251513226588	-0.152600370435285	-0.42190265601789	-0.429490328628961	-0.282153597405225	-0.576827059852696	-0.738565832278522	-0.48422840981422	-0.992903254742823	-0.895960747197379	-0.651972911157194	-1.13994858323756
"11"	4.52261306532663	-0.539547586661429	-0.372043974541325	-0.707051198781533	-0.288353143820459	-0.154846861269957	-0.421859426370962	-0.430591959222832	-0.284334302185566	-0.576849616260099	-0.734908668326345	-0.479592566364194	-0.990224770288495	-0.893218012270112	-0.648342148841141	-1.13809387569908
"12"	4.9748743718593	-0.540649217255301	-0.374105284184775	-0.707193150325828	-0.289454774414331	-0.157088048517877	-0.421821500310785	-0.431693589816704	-0.286509163878494	-0.576878015754915	-0.731251504374168	-0.474933465271517	-0.987569543476819	-0.890475277342844	-0.644695096385506	-1.13625545830018
"13"	5.42713567839196	-0.541750847849173	-0.37616000078763	-0.707341694910716	-0.290556405008203	-0.159323794018095	-0.421789015998311	-0.432795220410576	-0.288678051944685	-0.576912388876468	-0.727594340421991	-0.470251378189434	-0.984937302654548	-0.887732542415577	-0.641031932931962	-1.13443315189919
"14"	5.87939698492462	-0.542852478443045	-0.378208009853419	-0.70749694703267	-0.291658035602075	-0.161553955463686	-0.421762115740464	-0.433896851004448	-0.290840832686846	-0.57695286932205	-0.723937176469814	-0.465546578644072	-0.982327774295556	-0.88498980748831	-0.637352838126749	-1.13262677684987
"15"	6.33165829145729	-0.543954109036917	-0.380249195053242	-0.707659023020592	-0.292759666195947	-0.16377838628032	-0.421740946111574	-0.43499848159832	-0.292997369187932	-0.576999594008707	-0.720280012517637	-0.460819341756576	-0.979740683278697	-0.882247072561042	-0.633657991995551	-1.13083615312653
"16"	6.78391959798995	-0.545055739630789	-0.382283438220855	-0.707828041040722	-0.293861296789819	-0.165996935502821	-0.421725658076816	-0.436100112192192	-0.295147521249951	-0.577052703134432	-0.71662284856546	-0.456069943972682	-0.977175753158237	-0.879504337633775	-0.629947574822103	-1.12906110044545
"17"	7.23618090452261	-0.54615737022466	-0.384310619349607	-0.708004121099714	-0.294962927383691	-0.168209447649871	-0.42171640711751	-0.437201742786064	-0.297291145333565	-0.577112340238562	-0.712965684613283	-0.451298662800054	-0.974632706426511	-0.876761602706508	-0.626221767030597	-1.12730143838242
"18"	7.68844221105528	-0.547259000818532	-0.386330616591329	-0.708187385045736	-0.296064557977562	-0.170415762597052	-0.421713353358072	-0.438303373379935	-0.2994280944987	-0.577178652261171	-0.709308520661106	-0.446505776553678	-0.972111264768533	-0.87401886777924	-0.622480749071936	-1.12555698648654
